"ISBN","title","author","publisher","category","original-language","country-of-origin","summary-of-content","summary-of-reviews"
"978-0241580350","The Song of the Cell: An Exploration of Medicine and the New Human","Siddhartha Mukherjee","The Bodley Head","Non-Fiction/Science","English","United States/India","A book that explores the history of our understanding of the cell, and the future of medicine through cellular therapies.","Praised for its clear and elegant prose, its fascinating scientific history, and its insightful look at the future of medicine. It was a major work of science writing from a Pulitzer Prize-winning author."
"978-0241580374","An Immense World: How Animal Senses Reveal the Hidden Realms Around Us","Ed Yong","The Bodley Head","Non-Fiction/Science","English","United Kingdom/United States","A book that explores the incredible diversity of animal senses and the different ways that animals perceive the world.","Praised for its sense of wonder, its beautiful prose, and its mind-expanding scientific insights. It was a critically acclaimed and award-winning work of science writing."
"978-0241580398","Fen, Bog and Swamp: A Short History of Peatland Destruction and Its Role in the Climate Crisis","Annie Proulx","4th Estate","Non-Fiction/Nature Writing","English","United States","A book that explores the history of wetlands and their importance in the fight against climate change.","Praised for its passionate and urgent message, and its lyrical and evocative prose. It was a powerful work of environmental writing from a celebrated author."
"978-0241580411","Colditz: Prisoners of the Castle","Ben Macintyre","Viking","Non-Fiction/History","English","United Kingdom","A new history of the infamous German prisoner-of-war camp, which tells the stories of the men who were held there and their daring escape attempts.","Praised for its gripping narrative, its fascinating characters, and its meticulous research. It was another classic work of historical storytelling from a master of the genre."
"978-0241580435","The Wager: A Tale of Shipwreck, Mutiny and Murder","David Grann","Simon & Schuster","Non-Fiction/History","English","United States","The true story of a British naval ship that was wrecked on a remote island off the coast of Patagonia in the 1740s, and the subsequent mutiny and survival of the crew.","Praised for its thrilling and suspenseful narrative, its rich historical detail, and its exploration of human nature under extreme pressure. It was a critically acclaimed and bestselling work of narrative non-fiction."
"978-0241580459","The Earth Transformed: An Untold History","Peter Frankopan","Bloomsbury Publishing","Non-Fiction/History","English","United Kingdom","A sweeping history of the world that focuses on the role of the environment in shaping human history.","Praised for its ambitious scope, its erudition, and its timely and important perspective on history. It is a major work of environmental history."
"978-0241580473","The Rest Is History: The Book of the Smash-Hit Podcast","Tom Holland and Dominic Sandbrook","Bloomsbury Publishing","Non-Fiction/History","English","United Kingdom","A book based on the popular history podcast, which explores various historical topics with humor and enthusiasm.","A bestseller that was praised for its entertaining and accessible approach to history. It was a fun and informative read for fans of the podcast."
"978-0241580497","What's for Dessert: Simple Recipes for Dessert People","Claire Saffitz","Murdoch Books","Non-Fiction/Cookbook","English","United States","A cookbook with a collection of simple and accessible dessert recipes.","Praised for its clear instructions, its beautiful photography, and its delicious and reliable recipes. It was a popular and well-received cookbook."
"978-0241580510","Ottolenghi Test Kitchen: Shelf Love","Yotam Ottolenghi and Noor Murad","Ebury Press","Non-Fiction/Cookbook","English","Israel/United Kingdom","A cookbook from the Ottolenghi team that focuses on using up pantry staples and creating delicious meals with minimal fuss.","Praised for its innovative and flavorful recipes, and its practical and flexible approach to cooking. It was another popular and successful cookbook from the Ottolenghi brand."
"978-0241580534","One: Simple One-Pan Wonders","Jamie Oliver","Michael Joseph","Non-Fiction/Cookbook","English","United Kingdom","A cookbook with a collection of recipes that can all be made in one pan, designed for easy and delicious weeknight meals.","A bestseller that was praised for its practicality, its simplicity, and its family-friendly recipes. It was a popular and accessible cookbook from a beloved chef."
"978-0241580558","Bored of Lunch: The Healthy Slow Cooker Book","Nathan Anthony","Ebury Press","Non-Fiction/Cookbook","English","United Kingdom","A cookbook with a collection of healthy and easy recipes that can be made in a slow cooker, from a popular food blogger.","A bestseller that was praised for its simple and convenient recipes. It was a popular choice for those looking for healthy and time-saving meal ideas."
"978-0241580572","Pinch of Nom: Enjoy","Kay Featherstone and Kate Allinson","Bluebird","Non-Fiction/Cookbook","English","United Kingdom","The latest cookbook from the hugely popular 'Pinch of Nom' brand, with a collection of slimming-friendly and delicious recipes.","Another massive bestseller from a brand that has dominated the UK cookbook charts. The recipes are praised for being healthy, tasty, and easy to follow."
"978-0241580596","The Official Harry Potter Cookbook","Joanna Farrow","Scholastic","Non-Fiction/Cookbook","English","United Kingdom","A cookbook with recipes inspired by the food from the Harry Potter books.","A popular and fun cookbook for fans of the series, with recipes for everything from Butterbeer to Pumpkin Pasties."
"978-0241580619","Guinness World Records 2023","Guinness World Records","Guinness World Records","Non-Fiction/Reference","English","United Kingdom","The annual collection of world records, with new and updated achievements from around the globe.","A perennially popular bestseller, it is a fun and fascinating read for all ages."
"978-0241580633","The Official Pokémon Cookbook","Victoria Rosenthal","Insight Editions","Non-Fiction/Cookbook","English","United States","A cookbook with recipes inspired by the world of Pokémon.","A fun and creative cookbook for fans of the popular franchise."
"978-0241580657","The World of the Witcher: Video Game Compendium","Marcin Batylda","Dark Horse Books","Non-Fiction/Reference","Polish/English","Poland","A guide to the world of 'The Witcher' video games, with information on characters, monsters, and lore.","A must-have for fans of the games, it is praised for its beautiful art and its detailed information."
"978-0241580671","The Lord of the Rings: The Rings of Power: The Official Companion","Titan Books","Non-Fiction/Reference","English","United Kingdom","A companion book to the Amazon Prime Video series, with behind-the-scenes information and concept art.","A popular book for fans of the show, it was praised for its beautiful visuals and its insights into the making of the series."
"978-0241580695","The Art of God of War Ragnarök","Sony Interactive Entertainment","Dark Horse Books","Non-Fiction/Art Book","English","United States","An art book showcasing the concept art and design of the popular video game.","Praised for its stunning artwork and its behind-the-scenes look at the creative process. It is a must-have for fans of the game."
"978-0241580718","The Legend of Zelda: Tears of the Kingdom – The Complete Official Guide","Piggyback","Non-Fiction/Strategy Guide","English","United Kingdom","The official strategy guide for the highly anticipated video game, with maps, walkthroughs, and secrets.","An essential purchase for players of the game, it is praised for its comprehensive and detailed information."
"978-0241580732","Minecraft: Guide to Creative","Mojang AB","Del Rey","Non-Fiction/Guide","Swedish/English","Sweden","A guide to the creative mode of the popular video game, with tips and inspiration for building.","A popular and useful guide for players of all ages, it is praised for its clear instructions and its creative ideas."
"978-0241580756","Roblox: Top Adventure Games","Roblox Corporation","HarperCollins","Non-Fiction/Guide","English","United States","A guide to some of the most popular adventure games on the Roblox platform.","A popular book for young fans of the game, with tips and information on their favorite games."
"978-0241580770","Five Nights at Freddy's: The Ultimate Guide","Scott Cawthon","Scholastic","Non-Fiction/Guide","English","United States","A guide to the popular horror video game series, with information on the characters, lore, and gameplay.","A popular book for fans of the series, it is praised for its detailed information and its creepy atmosphere."
"978-0241580794","Stranger Things: Worlds Turned Upside Down","Gina McIntyre","Del Rey","Non-Fiction/Companion","English","United States","The official companion book to the popular Netflix series, with behind-the-scenes photos and interviews.","A must-have for fans of the show, it is praised for its beautiful design and its fascinating insights into the making of the series."
"978-0241580817","The World of The Dark Crystal","J.M. Lee","Insight Editions","Non-Fiction/Companion","English","United States","A companion book to the classic fantasy film, with concept art and lore.","A beautiful and detailed book for fans of the film, it is praised for its stunning visuals and its rich world-building."
"978-0241580831","The World of The Labyrinth","Brian Froud and Toby Froud","Insight Editions","Non-Fiction/Companion","English","United Kingdom/United States","A companion book to the classic fantasy film, with concept art and behind-the-scenes stories.","A beautiful and nostalgic book for fans of the film, it is praised for its stunning artwork and its charming anecdotes."
"978-0241580855","The World of Blade Runner","Titan Books","Non-Fiction/Companion","English","United Kingdom","A companion book to the classic science fiction film, with concept art and production history.","A detailed and comprehensive book for fans of the film, it is praised for its beautiful visuals and its in-depth information."
"978-0241580879","The World of Alien","Titan Books","Non-Fiction/Companion","English","United Kingdom","A companion book to the classic science fiction horror film, with concept art and behind-the-scenes details.","A comprehensive and fascinating book for fans of the film, it is praised for its beautiful design and its detailed information."
"978-0241580893","The World of Star Wars","Titan Books","Non-Fiction/Companion","English","United Kingdom","A general companion book to the Star Wars universe, with information on characters, planets, and vehicles.","A popular and accessible guide for fans of all ages, it is praised for its beautiful visuals and its comprehensive overview of the saga."
"978-0241580916","The World of Marvel","Titan Books","Non-Fiction/Companion","English","United Kingdom","A general companion book to the Marvel universe, with information on characters, storylines, and a timeline of the films.","A popular and accessible guide for fans of the Marvel Cinematic Universe, it is praised for its beautiful visuals and its comprehensive overview of the franchise."
